taxon_id,taxon_name,rank,ancestry,marine
2,Animalia,kingdom,1,True
3,Actinopterygii,class,1/2/4,True
4,Chordata,phylum,1/2,True
5,Aves,class,1/2/4,True
6,Reptilia,class,1/2/4,True
7,Amphibia,class,1/2/4,True
8,Mammalia,class,1/2/4,True
9,Arachnida,class,1/2/10,True
10,Arthropoda,phylum,1/2,True
11,Insecta,class,1/2/10,True
12,Plantae,kingdom,1,True
13,Fungi,kingdom,1,True
14,Protozoa,kingdom,1,True
15,Mollusca,phylum,1/2,True
16,Chromista,kingdom,1,True
17,Ascomycota,phylum,1/13,True
18,Basidiomycota,phylum,1/13,True
19,Foraminifera,phylum,1/16,True
20,Paraphysomonas foraminifera,species,1/16/22/23/24/25/21,True
21,Paraphysomonas,genus,1/16/22/23/24/25,True
22,Ochrophyta,phylum,1/16,True
23,Chrysophyceae,class,1/16/22,True
24,Ochromonadales,order,1/16/22/23,True
25,Synuraceae,family,1/16/22/23/24,True
26,Barbarorthis foraminifera,species,1/2/57/144/27,False
27,Barbarorthis,genus,1/2/57/144,False
28,Shorea foraminifera,species,1/12/257878/263906/31/32/33/29,False
29,Shorea,genus,1/12/257878/263906/31/32/33,False
30,Magnoliophyta,phylum,1/12,False
31,Magnoliopsida,class,1/12/257878/263906,True
32,Theales,order,1/12/257878/263906/31,False
33,Dipterocarpaceae,family,1/12/257878/263906/31/32,False
34,Bauhinia foraminifera,variety,1/12/257878/263906/31/36/37/35,False
35,Bauhinia,genus,1/12/257878/263906/31/36/37,False
36,Fabales,order,1/12/257878/263906/31,False
37,Fabaceae,family,1/12/257878/263906/31/36,False
38,Edilemma foraminifera,species,1/2/10/9/40/41/39,False
39,Edilemma,genus,1/2/10/9/40/41,False
40,Araneae,order,1/2/10/9,True
41,Salticidae,family,1/2/10/9/40,True
42,Chrysodema foraminifera,species,1/2/10/11/265025/324/43,False
43,Chrysodema,genus,1/2/10/11/265025/324,False
44,Rhaphidophora foraminifera,species,1/2/10/11/265025/46/47/48/45,False
45,Rhaphidophora,genus,1/2/10/11/265025/46/47/48,False
46,Orthoptera,order,1/2/10/11/265025,True
47,Rhaphidophoroidea,superfamily,1/2/10/11/265025/46,False
48,Rhaphidophoridae,family,1/2/10/11/265025/46/47,False
49,Bryophyta,phylum,1/12,True
50,Cnidaria,phylum,1/2,True
51,Annelida,phylum,1/2,True
52,Platyhelminthes,phylum,1/2,True
53,Echinodermata,phylum,1/2,True
54,Nematoda,phylum,1/2,True
55,Bryozoa,phylum,1/2,True
56,Porifera,phylum,1/2,True
57,Brachiopoda,phylum,1/2,True
58,Marchantiophyta,phylum,1/12,False
59,Ciliophora,genus,1/13/17/60/61/62,True
60,Not assigned,class,1/13/17,False
64,Rhodophyta,phylum,1/12,True
65,Proteobacteria,phylum,1/66,True
66,Bacteria,kingdom,1,True
67,Chlorophyta,phylum,1/12,True
68,Myzozoa,phylum,1/16,True
69,Actinobacteria,phylum,1/66,True
70,Glomeromycota,phylum,1/13,False
71,Radiolaria,phylum,1,False
72,Bacteroidetes,phylum,1/66,True
73,Rotifera,phylum,1/2,True
74,Cyanobacteria,phylum,1/66,True
75,Zygomycota,phylum,1/13,True
76,Mycetozoa,phylum,1/14,False
77,Firmicutes,phylum,1/66,True
78,Nemertea,phylum,1/2,True
79,Oomycota,phylum,1/16,True
80,Chytridiomycota,phylum,1/13,True
81,Acanthocephala,genus,1/2/10/11/265025/82/241072/241363/83/84,True
82,Hemiptera,order,1/2/10/11/265025,True
83,Coreoidea,superfamily,1/2/10/11/265025/82/241072/241363,False
84,Coreidae,family,1/2/10/11/265025/82/241072/241363/83,False
86,Tardigrada,phylum,1/2,True
87,Haptophyta,phylum,1/16,True
88,Microsporidia,phylum,1/14,True
89,Euglenozoa,phylum,1/14,True
90,Hemichordata,phylum,1/2,True
91,Sipuncula,phylum,1/2/51,True
92,Gastrotricha,phylum,1/2,True
93,Chloroflexi,phylum,1/66,True
94,Amoebozoa,phylum,1/14,True
95,Verrucomicrobia,phylum,1/66,True
96,Charophyta,phylum,1/12,True
99,Planctomycetes,phylum,1/66,True
100,Pisuviricota,phylum,1,False
101,Negarnaviricota,phylum,1,False
102,Kitrinoviricota,phylum,1,False
103,Cressdnaviricota,phylum,1,False
104,Acidobacteria,phylum,1/66,True
105,Anthocerotophyta,phylum,1/12,False
106,Kinorhyncha,phylum,1/2,True
107,Crenarchaeota,phylum,1/322,True
108,Spirochaetes,phylum,1/66,True
109,Onychophora,genus,1/13/17/60,False
111,Cercozoa,phylum,1/14,True
112,Chaetognatha,phylum,1/2,True
113,Nematomorpha,phylum,1/2,True
114,Choanozoa,phylum,1/14,True
115,Liliopsida,class,1/12/257878/263906,False
116,Gastropoda,class,1/2/15,True
117,Agaricomycetes,class,1/13/18,True
118,Malacostraca,class,1/2/10/240789/258785,True
119,Bivalvia,class,1/2/15,True
120,Dothideomycetes,class,1/13/17,True
122,Bacillariophyceae,class,1/16/22,True
123,Bacillariophyta,phylum,1/12,True
124,Sordariomycetes,class,1/13/17,True
125,Lecanoromycetes,class,1/13/17,True
126,Bryopsida,class,1/12/49,True
127,Cephalopoda,class,1/2/15,True
128,Anthozoa,class,1/2/50,True
130,Leotiomycetes,class,1/13/17,True
131,Polychaeta,class,1/2/51,True
133,Diplopoda,class,1/2/10,False
136,Eurotiomycetes,class,1/13/17,True
138,Ostracoda,class,1/2/10,True
139,Collembola,order,1/2/10/140,True
140,Entognatha,class,1/2/10,False
141,Demospongiae,class,1/2/56,True
142,Jungermanniopsida,class,1/12/58,False
143,Clitellata,class,1/2/51,True
144,Rhynchonellata,class,1/2/57,True
145,Trematoda,class,1/2/52,True
146,Gymnolaemata,class,1/2/55,True
151,Vatesus trilobita,species,1/2/10/11/265025/324/152,False
152,Vatesus,genus,1/2/10/11/265025/324,False
153,Sundanina trilobita,species,1/2/10/133/155/156/154,False
154,Sundanina,genus,1/2/10/133/155/156,False
155,Polydesmida,order,1/2/10/133,True
156,Paradoxosomatidae,family,1/2/10/133/155,False
159,Dichaetophora trilobita,species,1/2/10/11/265025/161/162/160,False
160,Dichaetophora,genus,1/2/10/11/265025/161/162,False
161,Diptera,order,1/2/10/11/265025,True
162,Drosophilidae,family,1/2/10/11/265025/161,False
163,Lingulina trilobita,species,1/16/19/164,True
164,Lingulina,genus,1/16/19,True
167,Melanopsis fusulatina,species,1/2/15/116/261862/240679/1673/168,True
168,Melanopsis,genus,1/2/15/116/261862/240679/1673,True
169,Pucciniomycetes,class,1/13/18,False
170,Stenolaemata,class,1/2/55,True
171,Florideophyceae,class,1/12/64,True
172,Pezizomycetes,class,1/13/17,True
173,Echinoidea,class,1/2/53,True
174,Pinopsida,class,1/12/257878,False
175,Pinophyta,phylum,1/12,False
176,Hydrozoa,class,1/2/50,True
177,Elasmobranchii,class,1/2/4,True
178,Gammaproteobacteria,class,1/66/65,True
182,Lycopodiopsida,class,1/12/257878,False
183,Lycopodiophyta,phylum,1/12,False
184,Saccharomycetes,class,1/13/17,True
185,Chilopoda,class,1/2/10,True
186,Asteroidea,class,1/2/53,True
187,Cestoda,class,1/2/52,True
188,Ophiuroidea,class,1/2/53,True
189,Ascidiacea,class,1/2/4/35150,True
190,Crinoidea,class,1/2/53,True
191,Glomeromycetes,class,1/13/70,False
192,Alphaproteobacteria,class,1/66/65,True
193,Holothuroidea,class,1/2/53,True
194,Maxillopoda,class,1/2/10,True
195,Zygnematophyceae,class,1/12/67,False
196,Eurotatoria,class,1/2/73,True
203,Branchiopoda,class,1/2/10/240789,True
206,Bacilli,class,1/66/77,False
210,Myxomycetes,class,1/14/76,False
211,Polyplacophora,class,1/2/15,True
212,Phaeophyceae,class,1/16/22,True
213,Arthoniomycetes,class,1/13/17,True
214,Chlorophyceae,class,1/12/67,True
215,Ulvophyceae,class,1/12/67,True
216,Tremellomycetes,class,1/13/18,True
218,Ustilaginomycetes,class,1/13/18,True
219,Clostridia,class,1/66/77,True
220,Hexactinellida,class,1/2/56,True
224,Laboulbeniomycetes,class,1/13/17,True
225,Pycnogonida,class,1/2/10,True
226,Calcarea,class,1/2/56,True
228,Prymnesiophyceae,class,1/16/87,True
229,Orbiliomycetes,class,1/13/17,True
234,Microbotryomycetes,class,1/13/18,True
238,Cycadopsida,class,1/12/257878/263906,False
239,Cycadophyta,phylum,1/12,False
240,Chytridiomycetes,class,1/13/80,True
241,Microsporea,class,1/13/242,True
242,Microspora,phylum,1/13,True
243,Exobasidiomycetes,class,1/13/18,False
244,Sphagnopsida,class,1/12/49,False
245,Eutardigrada,class,1/2/86,True
249,Scaphopoda,class,1/2/15,True
250,Pauropoda,class,1/2/10,True
254,Marchantiopsida,class,1/12/58,False
255,Lingulata,class,1/2/57,True
256,Pterobranchia,class,1/2/90,True
258,Charophyceae,class,1/12/67,True
263,Sarcopterygii,class,1/2/4,True
267,Lichinomycetes,class,1/13/17,True
268,Protura,order,1/2/10/140,False
272,Scyphozoa,class,1/2/50,True
274,Sipunculidea,class,1/2/51/91,True
275,Diplura,genus,1/16/22/212/276/277,True
276,Scytosiphonales,order,1/16/22/212,True
277,Scytosiphonaceae,family,1/16/22/212/276,True
279,Trebouxiophyceae,class,1/12/67,True
280,Heterotardigrada,class,1/2/86,True
281,Verrucomicrobiae,class,1/66/95,True
283,Monoplacophora,class,1/2/15,True
